Geneid	SRR21709659
102723955	0
100189059	0
440689	55
2209	13
101927767	14
653604	16
8370	0
105371405	9
126961	0
8337	20
337873	25
723790	11
333932	0
554313	2
8349	1952
8338	10
317772	4
51027	427
9900	1891
10262	2501
10903	466
56957	1379
105373477	0
11311	1246
51177	9732
81611	1752
23632	26
51107	5024
79630	358
148523	427
54460	3244
9129	1209
23248	1338
80222	1063
102465529	3
1893	1863
100874054	22
54507	329
105371437	2
100422997	0
574406	1
4170	9886
2029	5855
55204	1199
84072	2
1520	51
1513	29407
405	1383
9869	829
29956	7471
8416	150
55793	499
58497	370
149428	9
54964	182
56882	2697
10962	5185
126626	157
10500	367
100534012	0
79626	0
388695	291
79005	6
29765	11
6944	1479
8394	2899
5710	5252
57592	1203
5298	2951
5993	1423
8991	363
5692	6707
23126	1246
57530	28
7286	4505
693139	6
81609	1443
11189	0
284485	27
65005	1041
51686	165
11022	451
339398	0
6097	0
100191040	10
100132111	39
284486	44
117145	680
6281	2022
441908	0
6282	20010
100131107	0
126637	0
7062	0
126638	0
388697	10
2312	93
339400	25
388698	2
49860	0
254910	0
54544	8
353145	0
84648	25
353144	0
353143	0
353142	35
353141	0
353140	0
26239	0
353139	16
199834	0
100129271	0
448834	2
353137	0
353135	3
353134	0
353133	0
353132	0
353131	0
448835	0
4184	2
3713	1276
163778	0
6698	1
6707	6
6699	0
6703	0
6700	0
6701	0
6704	2
6705	0
6702	0
6706	0
101928009	0
149018	0
574414	6
4014	0
114771	0
57115	0
6280	0
6283	0
6279	0
338324	0
645922	0
6278	0
6277	36747
6276	3
6275	181
101928034	3
6274	7
6273	164
140576	10478
57402	4
6284	5426
6271	40
26097	1837
23557	1217
3608	4593
100189015	0
4881	10
102466879	0
65123	265
11000	1
343052	0
105371448	0
57459	75
9909	1482
200186	1024
27173	5177
102465441	0
148327	57
10899	4690
5872	5305
6232	8941
91181	3
100847024	0
7170	11568
100126346	0
388701	0
25912	6522
9898	6258
10456	3511
89872	0
57198	4322
3570	123
126669	0
126668	0
55585	2811
100874097	15
1141	8
103	6101
3782	16
10654	2104
57326	7481
90780	1189
101928120	11
6464	18275
1163	416
100423020	15
80308	1303
55891	2
51043	1676
127579	8
149095	6
100505666	13
8751	9104
1945	260
1944	83
1942	159
55974	1684
54344	1780
200185	3186
80128	431
4582	199
693235	2
7059	4525
4580	546
2630	149
2629	155
10712	5
10067	0
1196	0
57657	0
5313	1
2224	12741
284618	2
23623	979
55870	1623
693140	0
645682	0
645676	30
55154	875
55249	1189
7818	2819
100129405	153
54856	1194
23208	3406
6016	1622
22889	1311
677823	1
677771	0
339403	0
9181	3008
102465442	0
105371729	0
6746	4979
56893	2525
28956	1875
57111	0
92312	142
4000	16706
64218	9
9673	1705
11243	210
100527963	0
632	1
79957	80
23381	6401
84283	289
112770	4787
391104	0
7203	8738
128229	24
57127	0
10485	2
407046	0
4209	2882
128239	121
164118	0
128240	4038
54865	1121
101928177	0
60484	4
63827	13
10763	251
1382	82
81875	1028
51093	465
79590	2207
3068	6310
5546	2505
9047	9
4914	2
3645	0
375033	52
149499	0
9826	2498
768220	0
440695	1
2117	970
360155	0
83416	0
83417	0
115352	0
79368	0
115350	1
922	0
55243	7762
646268	0
912	0
909	0
911	0
910	0
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	0
81448	0
391114	0
128371	0
128372	0
81442	0
4332	0
149628	0
3428	1386
9447	0
100189166	0
57863	70
100131825	0
2532	2
2205	2
441911	0
26476	0
127385	0
325	0
1401	0
54935	2352
343413	0
56833	6
284677	19
391123	15
25790	53
100422852	0
8407	38531
57549	2
89886	6
100505633	44
93183	625
3766	2
3765	0
93185	6575
477	108
480	6
844	18
729867	28
8682	86062
50717	3893
5824	2658
4807	24
1314	12660
474338	5
23385	8082
57216	35
114836	0
8832	0
6504	0
962	0
57823	234
4063	0
51744	0
55600	0
101928372	0
142683	0
50848	482
100131187	334
7391	1153
257106	12
81607	0
126823	108
5202	1675
4817	648
9191	694
51506	3475
27005	542
5498	1087
8703	1625
9507	225
4720	4240
2207	14
336	0
84134	704
100847090	0
9970	20
654790	0
4359	27
6391	4880
257177	160
100189373	0
100189407	9
100189402	0
100188997	0
100189412	0
100189394	0
100189366	0
100189091	0
100189260	0
100189235	0
100189009	0
100189252	0
100189385	0
100189141	0
100189290	0
100189316	0
100189230	0
100189259	0
100189188	0
100189134	0
100189364	0
100189160	0
100189017	0
100189039	0
100189120	0
100189139	0
100189274	0
2212	0
100189380	0
3310	2
100189018	0
100189011	0
100189126	0
2214	0
9103	0
3311	0
100189003	0
2215	0
2213	0
641311	0
84824	42
127943	151
11266	573
102724329	0
22926	3299
25903	400
9722	55
100616386	0
693141	0
284680	0
400793	92
117157	0
127933	5976
6675	4060
4921	7358
51478	691
339512	75
5999	39095
8490	3778
101928404	1
83540	32
100422212	0
5087	1220
100505795	0
4009	0
6258	0
400794	0
440699	0
4259	4663
223	3283
440700	0
54499	4812
100147773	8
7371	2152
100500832	0
149297	18
100126349	0
116123	0
57645	1299
117143	220
387597	14
84944	0
10223	3
92235	4
101928484	0
5451	310
919	2
8804	6914
92241	0
100189211	0
100189019	0
9019	10062
55811	18
25874	7624
55827	3497
100313835	0
23432	1604
261726	1324
375035	220
84832	125
9095	48
693142	0
100505918	0
101928565	0
6846	0
6375	0
1805	0
79100	0
101978719	0
101928596	95
481	755
29922	554
8548	1209
57821	51
10560	3108
2153	0
6403	0
6402	18
6401	0
92342	150
55732	96
57147	250
22920	1676
149281	22
100423010	0
100422839	0
284688	0
101928650	13
92344	296
5396	6581
80133	37
2328	4
100302178	0
100847009	0
388714	0
2327	0
2326	0
2329	140
7151	0
23215	4101
4653	2516
8674	530
51603	1853
26052	99
100874284	2
100628315	93
406996	0
100422882	0
406977	0
102724541	7
92346	0
5279	601
51430	2238
356	0
8995	4
7292	32
100506023	36
101928673	18
9588	7566
284525	2
730159	0
339416	50
27252	1090
91687	218
55157	572
100506046	9
60674	2459
26769	2
26802	19
26774	64
26770	3
692198	9
26806	8
692197	14
692196	6
692195	0
619498	17
84614	40
462	2
149041	733
102724601	2
9910	1129
9293	0
101928696	0
27101	1916
63931	966
63923	0
9674	1340
7143	0
101928727	0
101928751	0
64326	1158
677679	0
60676	390
460	14
574441	0
57795	0
102724661	0
101928778	0
89866	85
730102	249
100302401	89
9462	1666
400797	0
84066	0
105373472	9
400798	12
100616328	0
55103	773
9068	14
9917	3989
64222	1499
27	3357
6646	1026
126859	1
7827	0
163589	0
148753	0
163590	3121
26092	3669
9857	762
5768	25839
200058	942
89884	26
100527964	59
84320	1025
100423032	0
148756	0
9213	714
57710	158
10228	1568
3140	2773
51278	1607
101928973	0
100287948	0
777	0
127665	0
400799	0
2752	4373
127670	0
388719	0
353299	0
6041	391
6004	15
284648	0
85397	0
80896	56
1660	4223
81626	0
3915	18114
3918	1835
23057	23
284649	16
9887	2065
4688	4
10092	8926
23179	2507
403314	0
23127	301
116461	798
102724846	0
81563	1404
80267	1936
116496	2111
101929069	0
6045	449
81627	844
54823	208
10625	5441
100288079	4
101929093	0
83872	7814
10216	28
7175	3644
54953	1119
10896	10
102724919	2
5132	0
5743	7244
103752588	8
5321	1907
104169671	0
101929766	0
339479	0
101929120	0
440704	0
64407	0
431704	0
5996	0
6003	0
100616345	32
5997	359
102724954	0
51377	717
6738	834
51022	819
79577	1704
100302163	0
8707	8
101929184	0
343450	100
100616363	0
3075	2318
10878	0
3078	15
10877	2
3080	0
81494	0
2165	0
259266	91
360023	801
23418	17
163486	274
388722	217
56956	0
140609	7862
127124	0
5788	0
100131234	8
406955	0
406995	0
102800316	0
104266961	0
400800	0
2494	0
554279	16
23528	1007
9928	35
83479	416
101929224	7
23271	2635
2848	2
55765	10
23046	27
779	0
647219	9
252839	3858
91156	40
5317	48
7139	0
3898	0
7135	0
23612	10898
1465	27440
376693	37
89796	7194
100873949	1
100847050	0
100302158	0
55705	2961
102466724	2
149345	4622
25802	4008
10440	5719
6051	3814
102465443	0
1999	0
9283	2
127829	4832
5778	2
148713	16
59352	0
29089	320
4660	713
127833	10
10765	2474
100506696	137
641515	0
148709	26
5877	913
59349	1664
51094	6145
51706	11211
100506747	7
92703	1757
8497	183
4656	0
134	294
4608	0
1116	182
1118	0
100506775	0
730227	2
7832	963
2331	4303
5549	3463
26254	6
493	8494
677843	3
84719	0
54900	2
9877	3857
100381270	193
6635	998
284573	0
9580	389
55224	126
101929441	0
5972	2
3814	8
127845	2
22874	32
127841	0
84919	1371
5287	520
100189122	0
100189425	0
4194	402
10446	880
23114	12093
6900	2
388730	50
5929	766
25778	1416
9911	693
81788	282
55220	2
284576	4
93273	0
101669762	0
105371697	0
442891	0
100189098	0
5129	807
284578	0
148808	12
2005	975
85414	244
64710	5487
8934	2992
254428	3123
148811	6
284581	102
115019	2
103021296	0
103021295	0
338382	40
1510	0
440712	0
553	0
729533	37
23380	1467
9641	534
102466202	0
83593	112
1939	1242
8444	988
9261	5114
3586	0
29949	0
50604	0
11009	0
9214	18
5284	0
83953	1
79098	10
5208	1747
55432	557
725	37
722	0
1604	3569
1380	0
1378	0
1379	0
4179	7775
407026	17
407025	6
148696	8
947	18
105372883	6
5362	1531
642587	0
406988	0
57172	6
3914	855
100422894	0
50486	10
3290	25
80342	21
148304	98
3664	12
27042	1603
255928	778
574036	192
56256	84
105373474	5
55733	522
3756	69
55758	802
7188	878
84791	122
343035	0
7779	978
4751	36
9926	2637
102723727	0
25896	490
51514	64
100131205	99
100422947	1
101929541	0
5525	770
692157	1
55248	635
29937	2985
101929565	2
467	135
149647	0
55509	8
25936	728
128387	456
149643	2
642946	106
28982	463
79805	12
90806	552
26750	961
100505832	0
100861504	0
5629	16
105372911	0
56950	1225
5784	4025
1063	294
3776	79
101929612	0
51133	940
7399	2
